codigo;Empresa;cnpj;estreia_bolsa;funcionarios;fundada;papeis_empresa;cotacao;rent_mes;rent_3_meses;rent_1_ano;rent_2_anos;rent_5_anos;rent_10_anos;rent_real_mes;rent_real_3_meses;rent_real_1_ano;rent_real_2_anos;rent_real_5_anos;rent_real_10_anos;p/l;p/vp;dividend yield;payout;margem liquida;margem bruta;margem ebit;margem ebitda;ev/ebitda;ev/ebit;p/ebitda;p/ebit;p/ativo;p/cap giro;p/ativ circ liq;psr;vpa;lpa;giro ativos;roe;roic;roa;dívida líquida/patrimônio;dívida líquida/ebitda;dívida líquida/ebit;dívida bruta/patrimônio;patrimônio/ativos;passivos/ativos;liquidez corrente;cagr receitas 5 anos;cagr lucros 5 anos;valor mercado;valor firma;patrimorio liquido;total de papeis;ativos;ativo circulante;divida bruta;divida liquida;disponibilidade;segmento listagem;free float;tag along;liquidez media diaria;setor;segmento
AALR3;alliança saúde e participações sa;42771949/0001-35;2016;5677;1992;AALR3;24.12;3.3;6.3;20.84;114.59;86.26;;3.3;6.14;16.34;87.7;41.55;;-11.53;3.15;;;-22.52;30.8;-1.55;9.1;37.15;-218.18;28.55;-167.64;1.11;-11.41;-1.33;2.6;7.67;-2.09;0.43;-27.28;-1.08;-9.24;0.95;8.61;-50.54;1.12;0.35;0.63;0.63;0.4;;2853222000.0;3713447000.0;906947000.0;118292000.0;2571685000.0;433144000.0;1014839000.0;860225000.0;154614000.0;Novo Mercado;35.52;100.00;9537000.0;Saúde;Serviços Médicos. Hospitalares. Análises e Diagnósticos 
ABCB4;banco abc brasil;28195667/0001-06;2007;607;1983;ABCB4;17.75;-0.89;6.35;22.76;29.57;47.29;149.6;-0.89;6.19;18.19;13.33;11.93;39.31;4.91;0.76;8.83;20.26;13.57;22.15;20.7;;;3.22;;3.22;0.07;6.23;-0.08;0.67;23.46;3.61;0.11;15.4;23.24;1.53;;;;;0.1;0.92;1.39;20.24;14.42;4013099000.0;4013099000.0;5303106000.0;226090000.0;53540447000.0;2304120000.0;2304116000.0;;;100.00;;;;;
ABEV3;ambev;07526557/0001-00;2013;29607;2005;ABEV3;14.74;-3.28;-0.07;4.7;-9.9;-7.91;24.39;-3.28;-0.22;0.8;-21.19;-30.02;-30.58;15.75;2.73;5.17;81.45;18.03;49.71;22.46;29.98;9.11;12.16;9.47;12.64;1.71;-915.3;-2.32;2.84;5.4;0.94;0.6;17.35;19.98;11.21;-0.1;-0.36;-0.48;0.04;0.63;0.62;0.99;10.24;5.99;232211502000.0;223421502000.0;84999600000.0;15753833000.0;135466700000.0;35378700000.0;3789400000.0;-8790000000.0;12579400000.0;Tradicional;27.89;80.00;459285000.0;Consumo não Cíclico;Cervejas e Refrigerantes 
AERI3;aeris;12528708/0001-07;;;2010;AERI3;1.22;-18.12;-9.63;-54.48;-88.19;;;-18.12;-9.77;-56.18;-89.67;;;-8.05;1.08;;-45.1;-4.2;13.11;9.21;11.2;6.22;7.56;3.02;3.67;0.28;0.93;-0.78;0.34;1.13;-0.15;0.84;-13.47;8.9;-3.53;1.15;3.2;3.89;2.11;0.26;0.74;1.93;;;934780000.0;1924367000.0;862600000.0;766213000.0;3288865000.0;2089068000.0;1818500000.0;989587000.0;828913000.0;Nível 1;29.64;100.00;78532000.0;Bens Industriais;Máquinas e Equipamentos Industriais 
AESB3;aes brasil energia;37663076/0001-07;2021;;2020;AESB3;11.8;-4.84;12.7;13.74;-13.86;18.2;;-4.84;12.53;9.5;-24.65;-10.18;;56.13;1.61;0.91;51.11;4.28;33.16;25.99;44.11;11.51;19.54;5.45;9.25;0.35;2.2;-0.47;2.4;7.31;0.21;0.15;2.88;4.11;1.55;1.79;6.06;10.29;2.69;0.22;0.72;2.8;;;7102742000.0;15002769000.0;4401600000.0;601927000.0;20021297000.0;5033325000.0;11846527000.0;7900027000.0;3946500000.0;Novo Mercado;52.37;100.00;17340000.0;Utilidade Pública;Energia Elétrica 
AFLT3;afluente;10338320/0001-00;2010;;2008;AFLT3;9.51;0.11;8.82;10.04;0.01;86.4;;0.11;8.66;5.94;-12.52;41.65;;15.3;2.21;2.76;42.25;48.95;59.72;49.97;49.23;14.73;14.51;15.21;14.99;1.95;10.31;-2.58;7.49;4.3;0.62;0.26;14.46;13.28;12.72;-0.07;-0.48;-0.47;;0.88;0.12;4.34;18.92;11.64;599935000.0;581047000.0;271165000.0;63084000.0;308210000.0;75644000.0;286000.0;-18888000.0;19174000.0;Tradicional;1.37;;5000.0;Utilidade Pública;Energia Elétrica 
AGRO3;brasilagro;07628528/0001-59;2006;322;2005;AGRO3;24.7;4.35;-0.88;22.11;10.61;165.45;321.21;4.35;-1.03;17.56;-3.25;101.72;135.08;44.41;1.24;13.11;582.35;4.93;14.46;5.37;19.1;14.44;51.31;11.46;40.71;0.76;3.34;-1.28;2.19;19.91;0.56;0.35;2.79;1.65;1.71;0.32;2.98;10.6;0.45;0.61;0.39;2.25;16.19;-24.42;2528712000.0;3186994000.0;2037981000.0;102377000.0;3332824000.0;1361363000.0;909640000.0;658282000.0;251358000.0;Novo Mercado;50.57;100.00;14598000.0;Consumo não Cíclico;Agricultura 
AGXY3;agrogalaxy;25262307/0001-91;;;;AGXY3;5.6;-7.89;-26.7;-24.63;;;;-7.89;-26.81;-27.44;;;;21.7;0.66;;-43.63;0.39;12.27;5.16;6.19;3.12;3.74;1.38;1.65;0.09;1.1;-0.55;0.09;8.45;0.26;1.01;3.06;14.23;1.7;0.84;1.75;2.09;1.4;0.13;0.87;1.1;;;956619000.0;2170890000.0;1442665000.0;170824000.0;11105489000.0;9371375000.0;2013470000.0;1214271000.0;799199000.0;Nível 1;37.88;100.00;10452000.0;Consumo não Cíclico;Agricultura 
AHEB3;são paulo turismo sa;62002886/0001-60;1977;474;1968;AHEB6. AHEB5. AHEB3;22.09;-0.05;10.45;;-23.56;;;-0.05;10.28;;-33.14;;;2.87;26.05;;;15.94;40.25;24.45;25.9;1.38;1.47;1.76;1.87;0.52;5.06;-0.88;0.46;0.85;7.7;1.14;908.71;692.15;18.19;-5.56;-0.38;-0.4;0.65;0.02;0.98;1.34;39.53;;188247000.0;147980000.0;7244000.0;8543000.0;361856000.0;148236000.0;4721000.0;-40267000.0;44988000.0;Tradicional;3.25;;13000.0;Consumo Cíclico;Produção de Eventos e Shows 
AHEB5;são paulo turismo sa;62002886/0001-60;1977;474;1968;AHEB6. AHEB5. AHEB3;18.5;;-15.91;;;;;;-16.04;-3.72;;;;2.4;21.82;;;15.94;40.25;24.45;25.9;1.38;1.47;1.48;1.57;0.44;4.24;-0.74;0.38;0.85;7.7;1.14;908.71;692.15;18.19;-5.56;-0.38;-0.4;0.65;0.02;0.98;1.34;39.53;;188247000.0;147980000.0;7244000.0;8543000.0;361856000.0;148236000.0;4721000.0;-40267000.0;44988000.0;Tradicional;3.25;;3000.0;Consumo Cíclico;Produção de Eventos e Shows 
AHEB6;são paulo turismo sa;62002886/0001-60;1977;474;1968;AHEB6. AHEB5. AHEB3;18.51;;-7.5;-43.91;;-68.7;-28.48;;-7.64;-46.0;;-76.21;-60.08;2.4;21.83;;;15.94;40.25;24.45;25.9;1.38;1.47;1.48;1.57;0.44;4.24;-0.74;0.38;0.85;7.7;1.14;908.71;692.15;18.19;-5.56;-0.38;-0.4;0.65;0.02;0.98;1.34;39.53;;188247000.0;147980000.0;7244000.0;8543000.0;361856000.0;148236000.0;4721000.0;-40267000.0;44988000.0;Tradicional;3.25;;1000.0;Consumo Cíclico;Produção de Eventos e Shows 
ALLD3;allied;20247322/0001-47;2021;;2001;ALLD3;6.84;-5.91;40.74;-27.62;-78.26;;;-5.91;40.53;-30.32;-80.98;;;9.11;0.42;;168.18;1.37;14.74;3.78;5.19;3.65;5.01;2.4;3.29;0.17;0.6;-0.58;0.12;16.26;0.75;1.39;4.62;7.7;1.9;0.22;1.25;1.72;0.43;0.41;0.59;1.7;;;637628000.0;971076000.0;1516114000.0;93220000.0;3681099000.0;2579549000.0;648870000.0;333448000.0;315422000.0;Novo Mercado;24.61;100.00;3122000.0;Telecomunicações;Telecomunicações 
ALPA3;alpargatas;61079117/0001-05;1977;17441;1907;ALPA4. ALPA3;9.82;-13.71;18.74;-37.85;-78.4;-6.78;65.47;-13.71;18.56;-40.16;-81.11;-29.16;-7.65;-60.42;1.22;;-95.85;-2.67;45.1;-3.22;14.26;12.19;-53.97;11.32;-50.12;0.83;3.41;-1.38;1.61;8.07;-0.16;0.51;-2.01;-2.56;-1.38;0.16;1.52;-6.73;0.25;0.68;0.32;2.5;1.26;;6322893000.0;7223999000.0;5510854000.0;683062000.0;8127527000.0;3281018000.0;1381961000.0;901106000.0;480855000.0;Nível 1;31.69;80.00;115000.0;Consumo Cíclico;Calçados 
ALPA4;alpargatas;61079117/0001-05;1977;17441;1907;ALPA4. ALPA3;8.7;-20.69;14.62;-52.85;-83.23;-12.09;15.82;-20.69;14.45;-54.61;-85.33;-33.19;-35.36;-53.53;1.08;;-95.85;-2.67;45.1;-3.22;14.26;12.19;-53.97;10.03;-44.4;0.73;3.02;-1.23;1.43;8.07;-0.16;0.51;-2.01;-2.56;-1.38;0.16;1.52;-6.73;0.25;0.68;0.32;2.5;1.26;;6322893000.0;7223999000.0;5510854000.0;683062000.0;8127527000.0;3281018000.0;1381961000.0;901106000.0;480855000.0;Nível 1;31.69;;64937000.0;Consumo Cíclico;Calçados 
ALPK3;allpark empreendimentos participacoes servicos sa;60537263/0001-66;;;1981;ALPK3;4.22;6.57;248.76;146.78;-47.18;;;6.57;248.24;137.59;-53.8;;;-6.08;2.36;;;-12.67;29.35;8.26;23.0;7.84;21.82;3.35;9.33;0.33;-3.54;-0.4;0.77;1.79;-0.69;0.43;-38.84;4.81;-5.34;3.17;4.49;12.49;3.97;0.14;0.86;0.63;;;904879000.0;2117216000.0;382986000.0;214426000.0;2708958000.0;442380000.0;1518969000.0;1212337000.0;306632000.0;Novo Mercado;41.17;100.00;319000.0;Bens Industriais;Serviços Diversos 
ALSO3;alianscsonae;05878397/0001-32;2011;130;2003;ALSO3;24.47;5.84;35.26;57.02;-13.04;26.99;20.34;5.84;35.06;51.17;-23.94;-3.5;-32.84;4.57;0.95;2.12;4.84;209.85;111.76;384.81;403.78;2.02;2.12;2.37;2.49;0.49;9.18;-0.55;9.58;25.74;5.36;0.05;20.82;27.62;13.13;-0.14;-0.36;-0.38;;0.51;0.45;1.93;31.4;59.72;14044236000.0;11927162000.0;14770677000.0;573936000.0;28721740000.0;3179905000.0;;-2117074000.0;2117074000.0;Novo Mercado;92.76;100.00;43587000.0;Financeiro;Exploração de Imóveis 
ALTF3;althaia;48344725/0007-19;;;;ALTF3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUP11;alupar investimento s/a;08364948/0001-38;2008;121;2006;ALUP11. ALUP4. ALUP3;28.56;-2.12;8.78;;24.28;133.65;181.67;-2.12;8.62;;8.71;77.56;57.2;11.65;1.17;5.46;94.2;20.19;79.84;71.68;75.61;6.49;6.85;3.11;3.28;0.29;2.8;-0.36;2.35;24.51;2.45;0.12;10.0;12.33;4.59;1.24;3.32;3.5;1.64;0.25;0.62;2.15;13.57;11.82;8534980000.0;17463685000.0;7183092000.0;879111000.0;28614717000.0;5599948000.0;11772054000.0;8928705000.0;2843349000.0;Nível 2;47.84;100.00;20958000.0;Utilidade Pública;Energia Elétrica 
ALUP3;alupar investimento s/a;08364948/0001-38;2008;121;2006;ALUP11. ALUP4. ALUP3;9.76;0.21;11.77;;29.32;94.25;;0.21;11.6;;13.11;47.62;;11.95;1.19;5.33;94.2;20.19;79.84;71.68;75.61;6.49;6.85;3.19;3.37;0.3;2.87;-0.37;2.41;8.17;0.82;0.12;10.0;12.33;4.59;1.24;3.32;3.5;1.64;0.25;0.62;2.15;13.57;11.82;8534980000.0;17463685000.0;7183092000.0;879111000.0;28614717000.0;5599948000.0;11772054000.0;8928705000.0;2843349000.0;Nível 2;47.84;100.00;170000.0;Utilidade Pública;Energia Elétrica 
ALUP4;alupar investimento s/a;08364948/0001-38;2008;121;2006;ALUP11. ALUP4. ALUP3;9.6;-1.74;9.7;;23.56;160.86;;-1.74;9.54;;8.08;98.24;;11.75;1.17;5.42;94.2;20.19;79.84;71.68;75.61;6.49;6.85;3.14;3.31;0.29;2.82;-0.37;2.37;8.17;0.82;0.12;10.0;12.33;4.59;1.24;3.32;3.5;1.64;0.25;0.62;2.15;13.57;11.82;8534980000.0;17463685000.0;7183092000.0;879111000.0;28614717000.0;5599948000.0;11772054000.0;8928705000.0;2843349000.0;Nível 2;47.84;100.00;205000.0;Utilidade Pública;Energia Elétrica 
AMAR3;lojas marisa;61189288/0001-89;2010;12388;1948;AMAR3;0.79;-8.14;-8.14;-63.76;-90.98;-82.29;-96.15;-8.14;-8.28;-65.11;-92.11;-86.54;-97.85;-0.59;0.74;;;-16.96;38.66;-8.56;-6.06;-9.01;-6.37;-1.64;-1.16;0.09;-19.68;-0.18;0.1;1.07;-1.35;0.94;-125.64;-16.04;-15.9;3.3;-7.37;-5.21;3.85;0.13;0.87;0.99;-0.26;;270840000.0;1488090000.0;368340000.0;342835000.0;2911241000.0;1403231000.0;1417714000.0;1217250000.0;200464000.0;Novo Mercado;45.59;100.00;33520000.0;Consumo Cíclico;Tecidos  Vestuário e Calçados 
AMBP3;ambipar participacoes e empreendimentos s/a;12648266/0001-24;;;1995;AMBP3;20.98;3.45;-4.89;-7.67;-51.05;;;3.45;-5.03;-11.11;-57.18;;;-28.97;1.96;0.64;-18.52;-1.96;24.22;18.71;27.22;5.59;8.14;2.09;3.04;0.23;0.79;-0.41;0.57;10.68;-0.72;0.4;-6.78;8.53;-0.49;3.29;3.5;5.1;5.82;0.12;0.83;2.85;;;2369388000.0;6340688000.0;1205910000.0;112935000.0;10338500000.0;4605500000.0;7021400000.0;3971300000.0;3050100000.0;Novo Mercado;38.83;100.00;9150000.0;Utilidade Pública;Água e Saneamento 
AMER3;americanas sa;00776574/0001-56;;;;AMER3;1.12;-10.4;1.82;-93.0;-98.27;-95.92;-87.3;-10.4;1.67;-93.26;-98.49;-96.9;-92.91;23.27;0.07;;1290.14;0.16;30.68;4.18;11.16;4.88;13.0;0.32;0.86;0.02;0.08;-0.04;0.04;16.29;0.05;0.59;0.3;1.07;0.09;0.97;4.55;12.14;1.41;0.31;0.69;2.24;33.96;;1010833000.0;15233346000.0;14705555000.0;902529000.0;47084000000.0;22433000000.0;20790000000.0;14222513000.0;6567487000.0;Nível 1;65.87;100.00;239884000.0;Consumo Cíclico;Produtos Diversos 
ANDG3B;andrade gutierrez concessões sa;03601314/0001-38;;;;ANDG4B. ANDG3B;28.82;;;;;;;;-0.15;;;;;56.8;2.11;;;45.82;47.12;179.05;140.71;11.0;8.64;18.5;14.54;1.79;-23.99;-1.83;26.03;13.66;0.51;0.07;3.72;12.72;3.14;0.14;1.24;0.97;0.14;0.85;0.15;0.26;;;1651867000.0;1861267000.0;1483490000.0;108633000.0;1753220000.0;45020000.0;209400000.0;209400000.0;;Tradicional;0.0;;;Holdings Diversificadas;
ANIM3;anima;09288252/0001-32;2013;7175;2007;ANIM3;3.94;5.63;55.12;-11.46;-70.64;133.85;;5.63;54.89;-14.76;-74.32;77.71;;-17.81;0.59;;;-2.47;59.21;9.68;26.83;4.47;12.38;1.64;4.55;0.15;-35.84;-0.19;0.44;6.63;-0.22;0.34;-3.34;-1.11;0.51;1.03;2.83;7.84;1.5;0.25;0.7;0.98;26.81;88.42;1591243000.0;4335843000.0;2677358000.0;403868000.0;10572000000.0;2290700000.0;4004900000.0;2744600000.0;1260300000.0;Novo Mercado;63.67;100.00;15965000.0;Consumo Cíclico;Serviços Educacionais 
APER3;alper;11721921/0001-60;2010;552;2010;APER3;29.99;5.08;14.61;10.36;-37.67;124.32;56.57;5.08;14.44;6.25;-45.48;70.47;-12.62;16.05;0.74;1.08;17.32;8.33;97.06;6.8;16.64;5.55;13.57;8.03;19.65;0.46;10.24;-0.6;1.34;40.76;1.87;0.34;4.59;0.49;2.81;-0.23;-2.48;-6.08;;0.62;0.38;1.23;24.09;;344289000.0;237756000.0;467898000.0;11480000.0;755644000.0;182343000.0;;-106533000.0;106533000.0;Novo Mercado;133.98;100.00;4509000.0;Financeiro;Corretoras de Seguros 
APTI3;siderurgica j l aliperti sa;61156931/0001-78;1986;40;1924;APTI4. APTI3;4258.97;;;;;;;;;-3.72;-12.53;;;-3.1;0.39;;155.24;-57.31;94.22;-93.36;;;-1.32;;-1.9;0.16;0.55;-0.27;1.77;10891.04;-1376.01;0.09;-12.63;-23.7;-5.32;-0.04;;0.2;0.25;0.42;0.58;4.49;6.89;;63425000.0;55050000.0;202606000.0;18000.0;481583000.0;185450000.0;50820000.0;-8375000.0;59195000.0;Tradicional;49.29;;;Agricultura;
APTI4;siderurgica j l aliperti sa;61156931/0001-78;1986;40;1924;APTI4. APTI3;2979.22;;;;;;;;;-3.72;-12.53;;;-2.17;0.27;;155.24;-57.31;94.22;-93.36;;;-1.32;;-1.33;0.12;0.38;-0.19;1.24;10891.04;-1376.01;0.09;-12.63;-23.7;-5.32;-0.04;;0.2;0.25;0.42;0.58;4.49;6.89;;63425000.0;55050000.0;202606000.0;18000.0;481583000.0;185450000.0;50820000.0;-8375000.0;59195000.0;Tradicional;49.29;;;Agricultura;
ARML3;armac;00242184/0001-04;;;;ARML3;13.42;-9.32;6.68;;;;;-9.32;6.52;;;;;31.62;4.07;1.62;68.43;14.02;47.15;33.54;48.04;11.88;17.02;9.23;13.22;1.23;5.7;-1.85;4.43;3.29;0.42;0.28;12.89;10.08;3.91;1.17;2.66;3.8;1.93;0.3;0.7;2.85;;;4643535000.0;5979388000.0;1139732000.0;346016000.0;3760551000.0;1255490000.0;2205243000.0;1335853000.0;869390000.0;Nível 1;49.77;100.00;52149000.0;Bens Industriais;Construção Pesada 
ARZZ3;arezzo&co;16590234/0001-76;2011;2929;1972;ARZZ3;77.88;2.15;14.77;9.54;-19.4;96.31;167.81;2.15;14.6;5.46;-29.5;49.18;49.47;22.18;3.18;2.05;21.22;8.82;53.67;11.17;15.29;13.2;18.07;12.79;17.5;1.68;7.85;-3.54;1.96;24.48;3.51;0.86;14.35;12.84;7.57;0.1;0.41;0.56;0.39;0.53;0.47;1.69;23.69;22.2;8643839000.0;8920864000.0;2716661000.0;110989000.0;5131922000.0;2691016000.0;1060093000.0;277025000.0;783068000.0;Novo Mercado;54.74;100.00;52600000.0;Consumo Cíclico;Tecidos  Vestuário e Calçados 
ASAI3;assaí;06057223/0001-71;2020;;2003;ASAI3;12.57;-8.25;-4.54;-17.46;;;;-8.25;-4.68;-20.53;;;;15.72;4.26;0.69;10.89;1.85;16.44;5.06;6.9;6.4;8.73;4.22;5.76;0.43;-5.76;-0.63;0.29;2.95;0.8;1.49;27.09;17.32;2.76;2.2;2.18;2.97;3.24;0.1;0.9;0.81;;;16948541000.0;25696541000.0;3980000000.0;1348332000.0;39089000000.0;12378000000.0;12882000000.0;8748000000.0;4134000000.0;Nível 1;58.98;100.00;250985000.0;Consumo não Cíclico;Alimentos 
ATMP3;atma sa;04032433/0001-80;2001;36154;2000;ATMP3;2.05;84.68;72.27;102.97;-70.29;-92.32;-98.3;84.68;72.01;95.41;-74.01;-94.16;-99.05;-0.13;-0.16;;;-80.45;-18.15;-59.63;-40.54;-1.54;-1.05;-0.25;-0.17;0.03;-0.06;-0.04;0.1;-13.18;-16.06;0.32;-121.86;-960.18;-25.82;-0.79;-1.29;-0.88;-1.09;-0.21;1.21;0.3;-17.08;;54756000.0;333527000.0;-352113000.0;26710000.0;1661928000.0;382771000.0;385236000.0;278771000.0;106465000.0;Novo Mercado;28.69;100.00;3195000.0;Bens Industriais;Serviços Diversos 
ATOM3;atom empreendimentos e participações s/a;00359742/0001-08;1996;;1994;ATOM3;2.55;4.94;-10.21;4.51;-56.27;43.17;;4.94;-10.34;0.62;-61.75;8.8;;15.6;2.42;;15.87;13.0;95.49;9.53;;;12.12;;21.29;1.6;1.86;-88.75;2.03;1.05;0.16;0.79;15.5;8.73;10.27;-1.04;;-9.17;;0.66;0.34;8.27;;-11.32;60702000.0;34566000.0;25102000.0;23804000.0;37887000.0;37203000.0;;-26136000.0;26136000.0;Tradicional;25.34;;7529000.0;Financeiro;Outros 
AURA33;aura minerals;07857093/0001-14;2020;;1946;AURA33;35.56;3.37;-12.2;28.79;-40.69;;;3.37;-12.33;23.99;-48.12;;;10.67;1.5;2.06;21.94;12.12;36.46;24.36;;;6.34;;5.31;0.68;9.03;-0.99;1.29;23.73;3.33;0.52;14.04;12.91;6.34;0.29;;1.03;0.6;0.45;0.55;1.31;;;2515602000.0;3005612000.0;1678884000.0;70742000.0;3714905000.0;1178236000.0;1015323000.0;490010000.0;525313000.0;Tradicional;43.34;;25132000.0;Materiais Básicos;Minerais Metálicos 
AURE3;auren energia;28594234/0001-23;;;;AURE3;14.3;-0.63;3.4;13.49;;;;-0.63;3.25;9.26;;;;4.91;0.92;10.49;51.53;50.32;20.65;26.42;37.86;7.82;11.2;6.53;9.36;0.42;5.0;-0.53;2.47;15.48;2.91;0.17;18.8;5.09;8.64;0.18;1.29;1.85;0.4;0.46;0.54;1.71;;;14300000000.0;17126131000.0;15483511000.0;1000000000.0;33694157000.0;6900272000.0;6166131000.0;2826131000.0;3340000000.0;Novo Mercado;30.2;100.00;66683000.0;Utilidade Pública;Energia Elétrica 
AVLL3;alphaville;16811931/0001-00;2020;;1973;AVLL3;6.25;48.81;94.7;;-79.03;;;48.81;94.41;;-81.66;;;-0.37;-0.31;;;-115.11;20.13;-43.64;-42.2;-7.6;-7.35;-1.0;-0.96;0.08;-0.23;-0.13;0.42;-20.0;-17.1;0.19;-85.5;-24.77;-21.97;-2.07;-6.6;-6.38;-2.4;-0.26;1.26;0.52;;;140098000.0;1067680000.0;-448302000.0;22415000.0;1743290000.0;672625000.0;1076054000.0;927582000.0;148472000.0;Novo Mercado;19.88;100.00;295000.0;Financeiro;Exploração de Imóveis 
AZEV3;azevedo e travassos sa;61351532/0001-68;1984;172;1922;AZEV4. AZEV3;1.72;-7.03;20.28;-36.76;-77.13;;;-7.03;20.1;-39.11;-80.0;;;-1.16;1.66;;;-23.44;5.81;-26.67;-17.49;-1.49;-0.98;-1.55;-1.02;0.22;-2.13;-0.36;0.27;1.04;-1.49;0.81;-143.32;-219.42;-18.96;-0.04;0.04;0.03;0.02;0.13;0.87;0.79;57.16;;125564000.0;122321000.0;76911000.0;74180000.0;581398000.0;221990000.0;1850000.0;-3243000.0;5093000.0;Tradicional;71.46;;3258000.0;Bens Industriais;Construção Pesada 
AZEV4;azevedo e travassos sa;61351532/0001-68;1984;172;1922;AZEV4. AZEV3;1.68;-7.69;26.32;-17.24;-75.97;-64.63;-75.08;-7.69;26.13;-20.32;-78.98;-73.12;-86.09;-1.13;1.62;;;-23.44;5.81;-26.67;-17.49;-1.49;-0.98;-1.51;-0.99;0.21;-2.08;-0.35;0.27;1.04;-1.49;0.81;-143.32;-219.42;-18.96;-0.04;0.04;0.03;0.02;0.13;0.87;0.79;57.16;;125564000.0;122321000.0;76911000.0;74180000.0;581398000.0;221990000.0;1850000.0;-3243000.0;5093000.0;Tradicional;71.46;;7239000.0;Bens Industriais;Construção Pesada 
AZUL4;azul;09305994/0001-29;2017;11766;2008;AZUL4;16.97;-14.94;46.67;38.64;-60.12;-25.54;;-14.94;46.45;33.48;-65.12;-43.42;;-5.2;-1.09;;;-23.94;18.55;10.14;;;16.24;;12.28;1.23;-1.8;-1.6;1.25;-15.6;-3.26;0.99;-20.92;51.12;-23.71;-1.15;;12.98;-1.17;-1.13;2.13;0.25;13.55;;5695435000.0;28373865000.0;-19726800000.0;1264588000.0;17402200000.0;3949700000.0;23144780000.0;22678430000.0;466350000.0;Nível 2;50.14;100.00;309520000.0;Bens Industriais;Transporte Aéreo 
B3SA3;b3 sa - brasil. bolsa. balcão;09346601/0001-25;2008;2040;2007;B3SA3;14.45;-4.87;20.72;43.69;-8.64;123.74;419.85;-4.87;20.54;38.34;-20.09;70.03;190.14;19.95;4.09;2.65;52.93;40.97;87.66;53.5;63.6;12.47;14.82;12.85;15.28;1.84;10.3;-2.78;8.17;3.53;0.72;0.22;20.51;12.69;9.2;-0.12;-0.38;-0.45;0.57;0.45;0.55;2.1;16.31;15.08;84084550000.0;81582606000.0;20547544000.0;5819000000.0;45806400000.0;15579207000.0;11667232000.0;-2501944000.0;14169176000.0;Nível 1;98.53;100.00;797100000.0;Financeiro;Serviços Financeiros Diversos 
BAHI3;bahema;45987245/0001-92;1974;67;1960;BAHI3;9.81;12.63;-18.25;-6.75;19.27;42.4;;12.63;-18.37;-10.22;4.32;8.21;;-1.14;2.34;;;-30.96;40.32;-13.57;;;-6.23;;-2.61;0.19;-0.57;-0.2;0.35;4.2;-8.59;0.55;-204.49;-21.7;-17.29;3.25;;-3.63;3.31;0.08;0.89;0.1;52.19;;127414000.0;304607000.0;54533000.0;12988000.0;658631000.0;24794000.0;180491000.0;177193000.0;3298000.0;Tradicional;28.58;;77000.0;Consumo Cíclico;Serviços Educacionais 
BALM3;baumer;61374161/0001-30;1970;422;1952;BALM3. BALM4;10.7;-2.73;9.29;-6.83;-44.48;;;-2.73;9.13;-10.3;-51.44;;;8.05;0.75;2.02;96.08;7.71;58.92;10.88;13.36;3.45;4.23;4.64;5.7;0.42;0.95;-1.42;0.62;14.27;1.33;0.68;9.32;8.1;5.2;-0.16;-1.01;-1.24;0.18;0.56;0.44;2.71;7.12;36.33;100695000.0;77863000.0;139862000.0;9800000.0;249043000.0;175086000.0;25550000.0;-22832000.0;48382000.0;Tradicional;34.89;;1000.0;Saúde;Equipamentos 
BALM4;baumer;61374161/0001-30;1970;422;1952;BALM3. BALM4;9.85;0.51;1.58;-7.43;-35.68;;;0.51;1.43;-10.88;-43.74;;;7.41;0.69;2.19;96.08;7.71;58.92;10.88;13.36;3.45;4.23;4.28;5.25;0.39;0.87;-1.31;0.57;14.27;1.33;0.68;9.32;8.1;5.2;-0.16;-1.01;-1.24;0.18;0.56;0.44;2.71;7.12;36.33;100695000.0;77863000.0;139862000.0;9800000.0;249043000.0;175086000.0;25550000.0;-22832000.0;48382000.0;Tradicional;34.89;;47950000.0;Saúde;Equipamentos 
BAUH3;excelsior alimentos;95426862/0001-97;1977;700;1932;BAUH3. BAUH4;2.31;;;;-20.89;;;;;;-30.8;;;-20.73;0.13;;;-0.29;22.38;4.77;7.38;11.06;17.1;0.81;1.26;0.08;0.98;-0.14;0.06;18.08;-0.11;1.25;-0.62;-0.26;-0.36;-0.17;-1.06;-1.64;0.11;0.59;0.41;1.2;2.96;;179973000.0;164203000.0;94427000.0;5222000.0;160515000.0;72267000.0;10022000.0;-15770000.0;25792000.0;Tradicional;28.89;80.00;;Carnes e Derivados;
BAUH4;excelsior alimentos;95426862/0001-97;1977;700;1932;BAUH3. BAUH4;73.0;2.1;-1.07;0.27;-15.58;479.21;;2.1;-1.22;-3.46;-26.16;340.16;;-655.02;4.04;1.66;;-0.29;22.38;4.77;7.38;11.06;17.1;25.69;39.7;2.37;31.08;-4.32;1.9;18.08;-0.11;1.25;-0.62;-0.26;-0.36;-0.17;-1.06;-1.64;0.11;0.59;0.41;1.2;2.96;;179973000.0;164203000.0;94427000.0;5222000.0;160515000.0;72267000.0;10022000.0;-15770000.0;25792000.0;Tradicional;28.89;;36000.0;Consumo não Cíclico;Carnes e Derivados 
