codigo;Empresa;cnpj;estreia_bolsa;funcionarios;fundada;papeis_empresa;cotacao;rent_mes;rent_3_meses;rent_1_ano;rent_2_anos;rent_5_anos;rent_10_anos;rent_real_mes;rent_real_3_meses;rent_real_1_ano;rent_real_2_anos;rent_real_5_anos;rent_real_10_anos;p/l;p/vp;dividend yield;payout;margem liquida;margem bruta;margem ebit;margem ebitda;ev/ebitda;ev/ebit;p/ebitda;p/ebit;p/ativo;p/cap giro;p/ativ circ liq;psr;vpa;lpa;giro ativos;roe;roic;roa;dívida líquida/patrimônio;dívida líquida/ebitda;dívida líquida/ebit;dívida bruta/patrimônio;patrimônio/ativos;passivos/ativos;liquidez corrente;cagr receitas 5 anos;cagr lucros 5 anos;valor mercado;valor firma;patrimorio liquido;total de papeis;ativos;ativo circulante;divida bruta;divida liquida;disponibilidade;segmento listagem;free float;tag along;liquidez media diaria;setor;segmento
ITUB4;banco itau unibanco;60872504/0001-23;2002;86891;1943;ITUB4. ITUB3;28.28;1.34;10.19;35.42;24.55;119.49;544.55;1.34;10.03;30.38;8.94;66.8;259.73;9.12;1.62;5.42;31.2;10.35;36.93;12.47;;;7.06;;7.57;0.12;7.84;-0.12;0.94;17.5;3.1;0.12;17.72;18.27;1.31;;;;;0.07;0.04;;17.47;4.09;258518610000.0;258518610000.0;171550000000.0;9804135000.0;2388492000000.0;35380000000.0;33007000000.0;;;80.00;;;;;
JALL3;jalles machado;02635522/0001-95;;;1980;JALL3;8.2;0.99;15.01;22.5;-14.75;;;0.99;14.84;17.94;-25.43;;;3.49;1.25;2.17;7.57;40.55;32.04;57.19;89.8;3.1;4.87;1.58;2.47;0.39;1.98;-0.59;1.42;6.57;2.35;0.28;35.74;18.47;11.31;1.21;1.52;2.39;1.73;0.32;0.68;2.47;;;2416516000.0;4752330000.0;1937244000.0;294697000.0;6119077000.0;2051383000.0;3349084000.0;2335814000.0;1013270000.0;Nível 1;32.73;100.00;8697000.0;Bens Industriais;Serviços Diversos 
JBSS3;jbs;02916265/0001-60;2007;121296;1998;JBSS3;19.01;5.09;14.59;-35.48;-26.81;141.82;306.04;5.09;14.42;-37.88;-35.98;83.77;126.62;4.76;0.94;10.52;50.05;2.39;-2.36;-2.16;0.52;64.93;-15.65;21.82;-5.26;0.21;1.95;-0.33;0.11;20.13;4.0;1.85;19.85;-7.65;-3.43;1.87;43.12;-10.39;2.08;0.22;0.76;1.42;15.33;;42166392000.0;125508953000.0;44642552000.0;2218116000.0;200211568000.0;72617293000.0;92710804000.0;83342561000.0;9368243000.0;Novo Mercado;51.17;100.00;386396000.0;Consumo não Cíclico;Carnes e Derivados 
JFEN3;joão fortes engenharia sa;33035536/0001-00;1977;193;1950;JFEN3;3.54;41.6;37.21;-15.71;-86.79;-74.53;-85.46;41.6;37.0;-18.85;-88.45;-80.64;-91.88;-1.66;-0.12;;;-104.34;-10.11;-183.31;-156.3;-10.03;-8.55;-1.11;-0.95;0.06;-0.55;-0.35;1.73;-30.51;-2.13;0.04;-6.98;429.67;-3.98;-0.93;-8.92;-7.61;-0.95;-0.55;1.63;0.88;-15.34;;74484000.0;673734000.0;-642034000.0;21040000.0;1168020000.0;955137000.0;612640000.0;599250000.0;13390000.0;Tradicional;6.23;;18000.0;Consumo Cíclico;Incorporações 
JHSF3;jhsf;08294224/0001-65;2007;55;2006;JHSF3;5.25;8.02;35.2;3.71;-22.62;502.69;31.06;8.02;35.0;-0.15;-32.32;358.0;-26.85;6.22;0.71;6.4;39.82;31.93;57.79;47.75;51.48;6.24;6.72;3.86;4.16;0.34;1.47;-0.5;1.99;7.34;0.84;0.17;11.49;9.34;5.27;0.44;2.38;2.56;0.62;0.48;0.5;3.78;29.89;23.1;3566474000.0;5763341000.0;4988592000.0;679328000.0;10474756000.0;3298423000.0;3070977000.0;2196867000.0;874110000.0;Novo Mercado;44.02;100.00;79224000.0;Consumo Cíclico;Incorporações 
JOPA3;josapar joaquim oliveira s/a participações;87456562/0001-22;1988;1400;1973;JOPA4. JOPA3;21.51;2.43;3.36;;-33.34;;;2.43;3.21;;-41.69;;;8.0;0.4;3.82;30.61;1.26;20.61;5.2;5.89;6.63;7.52;1.71;1.94;0.09;0.31;-0.36;0.1;53.73;2.69;0.94;5.0;6.36;1.47;1.15;4.91;5.56;2.24;0.24;0.69;1.71;15.28;3.16;229241000.0;880516000.0;568588000.0;10582000.0;2409036000.0;1781280000.0;1271071000.0;651275000.0;619796000.0;Tradicional;21.19;;148000.0;Consumo não Cíclico;Alimentos Diversos 
JSLG3;jsl;52548435/0001-79;2010;24119;1969;JSLG3;8.92;2.88;18.46;94.34;-24.09;;;2.88;18.28;87.1;-33.6;;;13.6;1.78;;69.55;2.99;18.08;13.08;;;8.38;;3.11;0.3;3.91;-0.42;0.41;5.01;0.66;0.74;13.08;11.89;2.22;3.02;;5.27;3.53;0.17;0.83;1.39;-4.88;-0.13;2554965000.0;6888876000.0;1436140000.0;286431000.0;8467145000.0;2352405000.0;5071142000.0;4333911000.0;737231000.0;Novo Mercado;22.06;100.00;7058000.0;Bens Industriais;Transporte Rodoviário 
KEPL3;kepler weber;91983056/0001-69;1980;1229;1936;KEPL3;9.17;7.5;2.34;30.01;16.97;591.92;323.8;7.5;2.19;25.17;2.31;425.81;136.53;4.85;2.53;11.03;76.44;19.99;34.97;26.36;28.16;3.14;3.36;3.44;3.68;1.26;4.61;-3.67;0.97;3.62;1.89;1.3;52.26;40.09;26.05;-0.22;-0.3;-0.32;0.27;0.5;0.5;1.72;24.17;110.24;1648033000.0;1504635000.0;650729000.0;179720000.0;1305457000.0;855826000.0;175175000.0;-143398000.0;318573000.0;Tradicional;99.37;;12696000.0;Bens Industriais;Máquinas e Equipamentos Industriais 
KLBN11;klabin sa;89637490/0001-45;1997;14750;1899;KLBN11. KLBN4. KLBN3;21.39;-4.81;17.74;22.86;-9.98;30.81;;-4.81;17.56;18.28;-21.26;-0.59;;4.93;2.25;7.1;35.0;23.83;47.91;33.32;39.74;5.56;6.63;2.96;3.53;0.49;3.59;-0.66;1.18;9.49;4.34;0.41;45.67;12.99;10.28;1.97;2.58;3.08;2.63;0.22;0.74;2.07;15.33;93.56;24142394000.0;45127546000.0;10668360000.0;5617892000.0;49381534000.0;12964232000.0;28061040000.0;20985152000.0;7075888000.0;Nível 2;63.48;100.00;159823000.0;Materiais Básicos;Papel e Celulose 
KLBN3;klabin sa;89637490/0001-45;1997;14750;1899;KLBN11. KLBN4. KLBN3;4.31;-6.1;19.22;20.68;-26.08;-26.64;;-6.1;19.04;16.19;-35.34;-44.25;;4.97;2.27;7.04;35.0;23.83;47.91;33.32;39.74;5.56;6.63;2.98;3.56;0.49;3.61;-0.66;1.18;1.9;0.87;0.41;45.67;12.99;10.28;1.97;2.58;3.08;2.63;0.22;0.74;2.07;15.33;93.56;24142394000.0;45127546000.0;10668360000.0;5617892000.0;49381534000.0;12964232000.0;28061040000.0;20985152000.0;7075888000.0;Nível 2;63.48;100.00;2305000.0;Materiais Básicos;Papel e Celulose 
KLBN4;klabin sa;89637490/0001-45;1997;14750;1899;KLBN11. KLBN4. KLBN3;4.29;-4.45;17.76;22.95;-4.27;63.83;180.11;-4.45;17.58;18.37;-16.27;24.5;56.33;4.95;2.26;7.08;35.0;23.83;47.91;33.32;39.74;5.56;6.63;2.97;3.54;0.49;3.6;-0.66;1.18;1.9;0.87;0.41;45.67;12.99;10.28;1.97;2.58;3.08;2.63;0.22;0.74;2.07;15.33;93.56;24142394000.0;45127546000.0;10668360000.0;5617892000.0;49381534000.0;12964232000.0;28061040000.0;20985152000.0;7075888000.0;Nível 2;63.48;100.00;12536000.0;Materiais Básicos;Papel e Celulose 
KRSA3;kora saúde;13270520/0001-66;;;;KRSA3;1.12;10.89;6.67;-65.33;;;;10.89;6.51;-66.62;;;;-5.01;0.79;;;-8.14;22.8;11.86;16.42;9.0;12.46;2.48;3.44;0.18;1.21;-0.25;0.41;1.42;-0.22;0.45;-15.75;6.87;-3.42;2.07;6.52;9.02;2.24;0.23;0.75;2.16;;;864898000.0;3134100000.0;1096179000.0;772231000.0;4726331000.0;1329237000.0;2458442000.0;2269202000.0;189240000.0;Nível 1;20.25;100.00;7239000.0;Saúde;Serviços Médicos. Hospitalares. Análises e Diagnósticos 
LAME3;lojas americanas;33014556/0001-96;1977;25046;1929;LAME4. LAME3;15.08;20.26;-35.25;127.79;-50.66;17.81;39.51;20.26;-35.35;119.31;-56.84;-10.47;-22.14;48.39;1.77;;;2.27;32.9;4.35;10.61;13.49;32.89;10.35;25.23;0.65;2.74;-1.5;1.1;8.52;0.31;0.59;3.66;5.87;1.48;-0.62;-3.61;-8.8;;0.37;0.63;1.72;7.92;23.33;46967512000.0;37056321000.0;16066700000.0;1885307000.0;43736190000.0;24815320000.0;;-9911191000.0;9911191000.0;Nível 1;58.43;100.00;19173000.0;Consumo Cíclico;Produtos Diversos 
LAME4;lojas americanas;33014556/0001-96;1977;25046;1929;LAME4. LAME3;30.2;-11.88;420.69;10.91;13.83;88.62;243.29;-11.88;419.91;6.78;-0.43;43.34;91.6;96.9;3.54;;;2.27;32.9;4.35;10.61;13.49;32.89;20.72;50.53;1.3;5.5;-3.01;2.2;8.52;0.31;0.59;3.66;5.87;1.48;-0.62;-3.61;-8.8;;0.37;0.63;1.72;7.92;23.33;46967512000.0;37056321000.0;16066700000.0;1885307000.0;43736190000.0;24815320000.0;;-9911191000.0;9911191000.0;Nível 1;58.43;100.00;321214000.0;Consumo Cíclico;Produtos Diversos 
LAND3;terra santa propriedades agricolas sa;40337136/0001-06;2021;;2021;LAND3;24.36;4.37;-11.09;-6.67;-46.81;157.85;646.4;4.37;-11.22;-10.15;-53.48;95.95;316.58;16.16;3.48;5.56;89.87;150.63;93.2;62.6;68.08;37.65;40.95;35.76;38.89;2.38;394.1;-2.57;24.35;7.0;1.51;0.1;21.53;-3.88;14.71;0.18;1.89;2.06;0.19;0.68;0.25;1.09;;;2344088000.0;2468263000.0;673588000.0;96226000.0;986138000.0;72642000.0;127707000.0;124175000.0;3532000.0;Novo Mercado;31.81;100.00;1840000.0;Consumo não Cíclico;Agricultura 
LAVV3;lavvi;26462693/0001-28;2020;;1990;LAVV3;7.5;16.1;40.17;92.01;20.27;;;16.1;39.96;84.86;5.2;;;12.53;1.29;6.9;86.42;19.42;32.78;16.49;16.64;10.1;10.19;14.63;14.76;0.76;1.19;-4.24;2.43;5.84;0.6;0.31;10.26;6.43;6.86;-0.4;-4.53;-4.57;0.04;0.59;0.36;4.59;;;1496507000.0;1033029000.0;1164484000.0;199534000.0;1964512000.0;1611314000.0;44692000.0;-463478000.0;508170000.0;Novo Mercado;37.0;100.00;6841000.0;Consumo Cíclico;Incorporações 
LCAM3;locamerica;10215988/0001-60;2011;2634;2008;LCAM3;24.15;0.19;-8.08;-5.35;50.33;839.0;1299.71;0.19;-8.22;-8.87;31.49;613.58;681.2;35.58;1.98;;123.37;4.32;38.11;30.06;42.12;7.0;9.81;3.65;5.11;0.62;44.77;-0.74;1.54;12.17;0.68;0.41;5.58;9.72;1.76;1.82;3.35;4.7;1.88;0.31;0.69;1.1;22.33;12.79;12285815000.0;23566636000.0;6190432000.0;508729000.0;19667950000.0;3159243000.0;11663754000.0;11280821000.0;382933000.0;Novo Mercado;0.0;100.00;81920000.0;Consumo Cíclico;Aluguel de carros 
LEVE3;mahle-metal leve;60476884/0001-87;1977;7061;1950;LEVE3;44.91;0.97;61.69;126.69;87.94;150.61;296.3;0.97;61.45;118.25;64.39;90.45;121.18;9.17;3.34;9.7;88.99;14.42;27.89;18.36;20.62;6.44;7.23;6.41;7.2;1.78;5.57;-4.71;1.32;13.44;4.9;1.34;36.43;28.19;19.3;0.01;0.03;0.03;0.27;0.53;0.47;2.05;10.94;16.38;5762334000.0;5785537000.0;1724523000.0;128308000.0;3241983000.0;2017280000.0;460680000.0;23203000.0;437477000.0;Novo Mercado;30.0;100.00;7505000.0;Consumo Cíclico;Automóveis e Motocicletas 
LIGT3;light;03378521/0001-75;2005;4748;1999;LIGT3;8.25;14.9;302.44;44.48;-44.99;-22.12;-34.85;14.9;301.84;39.1;-51.88;-40.82;-63.64;-0.56;1.04;;-244.98;-40.97;16.36;-13.29;-7.74;-11.45;-6.67;-2.98;-1.74;0.13;-16.59;-0.16;0.23;7.92;-14.65;0.56;-184.92;-16.89;-22.91;2.96;-8.47;-4.93;3.51;0.12;0.88;0.96;2.17;;3073581000.0;11809988000.0;2952139000.0;372555000.0;23825786000.0;4473779000.0;10361232000.0;8736407000.0;1624825000.0;Novo Mercado;99.87;100.00;82450000.0;Utilidade Pública;Energia Elétrica 
LINX3;linx;06948969/0001-75;2013;3292;2004;LINX3;37.34;;0.35;6.52;20.14;130.11;;;0.2;2.55;5.09;74.87;;-90.8;4.37;;;-8.67;68.77;-4.8;13.35;57.15;-159.03;59.01;-164.21;2.74;11.95;-4.82;7.88;8.55;-0.41;0.35;-4.81;-2.26;-3.02;-0.14;-1.86;5.18;0.22;0.63;0.37;2.14;5.55;;7072530000.0;6849316000.0;1619010000.0;189408000.0;2580930000.0;1112450000.0;361810000.0;-223214000.0;585024000.0;Novo Mercado;78.12;100.00;43828000.0;Tecnologia da Informação;Programas e Serviços 
LIQO3;liq participações sa;67313221/0053-11;;;2000;LIQO3;1.47;3.52;22.5;;;;;3.52;22.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nível 1;0.0;;;Holdings Diversificadas;
LJQQ3;lojas quero-quero s/a;96418264/0218-02;;;1967;LJQQ3;5.53;3.56;31.35;-0.9;-76.99;;;3.56;31.15;-4.59;-79.87;;;-33.63;2.01;;818.49;-1.32;33.13;2.93;7.75;6.24;16.47;5.73;15.12;0.36;1.22;-1.02;0.44;2.76;-0.16;0.81;-5.96;5.89;-1.07;0.18;0.51;1.35;0.77;0.18;0.82;1.84;;;1035715000.0;1127912000.0;516535000.0;187290000.0;2872723000.0;1855309000.0;398352000.0;92197000.0;306155000.0;Novo Mercado;95.63;100.00;32450000.0;Consumo não Cíclico;Produtos Diversos 
LOGG3;log commercial properties;09041168/0001-10;2013;235;2007;LOGG3;21.96;-4.27;29.18;24.08;-24.54;;;-4.27;28.99;19.46;-34.0;;;7.95;0.62;4.18;33.23;115.89;99.02;175.08;175.33;8.95;8.96;5.26;5.26;0.37;-249.27;-0.4;9.22;35.37;2.76;0.04;7.81;7.73;4.95;0.44;3.69;3.7;0.48;0.6;0.38;0.98;18.35;44.58;2243415000.0;3819744000.0;3612916000.0;102159000.0;6006000000.0;368000000.0;1739000000.0;1576329000.0;162671000.0;Novo Mercado;58.27;100.00;17458000.0;Financeiro;Exploração de Imóveis 
LOGN3;log-in logística intermodal;42278291/0001-24;2007;876;1973;LOGN3;48.62;2.38;21.89;83.89;157.79;1419.38;13.07;2.38;21.71;77.04;125.49;1054.63;-36.89;13.45;5.65;;;17.19;23.9;17.32;26.3;10.28;15.6;8.79;13.35;1.52;12.15;-2.2;2.31;8.61;3.61;0.66;41.99;10.27;10.46;0.95;1.48;2.25;1.57;0.27;0.73;1.68;18.02;125.86;5176896000.0;6049494000.0;916376000.0;106476000.0;3410171000.0;1054405000.0;1439574000.0;872598000.0;566976000.0;Novo Mercado;27.34;100.00;15003000.0;Bens Industriais;Transporte Hidroviário 
LPSB3;lopes brasil;08078847/0001-09;2006;526;2006;LPSB3;2.72;6.25;76.56;8.87;-36.73;-15.06;-81.79;6.25;76.3;4.82;-44.66;-35.45;-89.84;28.01;2.05;0.76;21.31;7.4;80.88;17.19;25.62;6.99;10.42;8.09;12.06;1.02;11.98;-1.37;2.07;1.33;0.1;0.49;7.32;8.93;24.36;-0.28;-1.1;-1.64;;0.5;0.51;1.5;12.13;;401348000.0;346797000.0;195783000.0;147554000.0;394229000.0;100498000.0;;-54551000.0;54551000.0;Tradicional;70.81;100.00;6758000.0;Financeiro;Intermediação Imobiliária 
LREN3;lojas renner;92754738/0001-62;1977;21540;1965;LREN3;17.83;-16.41;9.39;-26.07;-54.55;-22.48;105.33;-16.41;9.23;-28.82;-60.25;-41.09;14.6;14.98;1.78;3.03;30.13;8.54;60.24;9.21;17.12;7.3;13.58;7.47;13.88;0.87;3.42;-2.14;1.28;10.03;1.19;0.68;11.86;9.97;5.82;-0.04;-0.16;-0.3;0.25;0.49;0.51;1.75;9.78;2.37;17174337000.0;16802128000.0;9665782000.0;963226000.0;19691820000.0;11681244000.0;2391319000.0;-372209000.0;2763528000.0;Novo Mercado;98.7;100.00;319206000.0;Consumo Cíclico;Tecidos  Vestuário e Calçados 
LTEL3B;litel participações sa;00743065/0001-27;;;;LTEL3B;0.01;;;;-99.99;;;;;-3.72;-99.99;;;;;11500.83;15.92;;;;;;-0.14;;;;-0.07;;;15.03;7.22;;48.04;47.72;44.5;-0.07;;-0.14;;0.93;0.07;0.87;;;2154000.0;-218293000.0;3239887000.0;215495000.0;3497505000.0;225327000.0;;-220448000.0;220448000.0;Tradicional;100.0;;;Minerais Metálicos;
LUPA3;lupatech;86375425/0001-09;2006;334;1980;LUPA3;3.05;-11.85;-17.79;-4.39;-49.5;100.66;-98.76;-11.85;-17.91;-7.95;-55.83;52.49;-99.31;3.1;0.53;;;29.38;23.33;-59.04;-49.16;-4.65;-3.87;-1.85;-1.54;0.17;1.91;-0.23;0.91;5.75;0.98;0.19;17.11;-56.86;5.47;0.8;-2.8;-2.33;0.82;0.32;0.68;1.47;-4.28;;92577000.0;232464000.0;174522000.0;30353000.0;546421000.0;152031000.0;143768000.0;139887000.0;3881000.0;Novo Mercado;100.0;100.00;15236000.0;Petróleo. Gás e Biocombustíveis;Equipamentos e Serviços 
LUXM3;trevisa;92660570/0001-26;1980;413;1930;LUXM4. LUXM3;0.33;;;;-86.36;;;;;;-88.07;;;0.16;0.02;;-30.95;7.88;28.59;14.45;24.91;1.88;3.24;0.05;0.09;0.01;-1.85;-0.01;0.01;21.28;2.07;0.88;9.7;8.56;6.92;-0.01;-0.04;-0.08;0.06;0.71;0.29;0.96;0.97;11.49;65238000.0;63746000.0;110589000.0;5196000.0;155164000.0;21195000.0;6990000.0;-1492000.0;8482000.0;Tradicional;30.35;;;Transporte Hidroviário;
LUXM4;trevisa;92660570/0001-26;1980;413;1930;LUXM4. LUXM3;22.25;6.97;8.96;8.56;21.52;692.56;1171.61;6.97;8.8;4.52;6.29;502.29;609.71;10.77;1.05;;-30.95;7.88;28.59;14.45;24.91;1.88;3.24;3.41;5.88;0.75;-124.99;-0.86;0.85;21.28;2.07;0.88;9.7;8.56;6.92;-0.01;-0.04;-0.08;0.06;0.71;0.29;0.96;0.97;11.49;65238000.0;63746000.0;110589000.0;5196000.0;155164000.0;21195000.0;6990000.0;-1492000.0;8482000.0;Tradicional;30.35;;72000.0;Bens Industriais;Transporte Hidroviário 
LVTC3;wdc networkings;05917486/0001-40;;;;LVTC3;6.11;10.09;3.21;-17.21;-73.66;;;10.09;3.06;-20.29;-76.96;;;20.93;0.62;;24.53;1.76;22.14;6.83;23.23;3.82;12.98;1.58;5.38;0.27;0.91;-0.53;0.37;9.9;0.29;0.73;2.95;4.48;1.29;0.87;2.24;7.6;1.08;0.44;0.56;2.54;;;395091000.0;952724000.0;639910000.0;64663000.0;1467816000.0;718165000.0;691851000.0;557633000.0;134218000.0;Nível 1;33.32;100.00;40253000.0;Telecomunicações;Telecomunicações 
LWSA3;locaweb serviços de internet sa;02351877/0001-52;;;1997;LWSA3;7.79;-14.3;44.26;32.03;-70.1;;;-14.3;44.04;27.11;-73.85;;;140.71;1.55;0.67;94.69;2.77;46.03;5.43;14.44;19.1;50.78;26.94;71.63;0.99;4.24;-1.82;3.89;5.01;0.06;0.25;1.1;1.17;0.7;-0.45;-7.84;-20.84;0.03;0.63;0.37;2.03;30.51;24.81;4641002000.0;3290369000.0;2986290000.0;595764000.0;4704744000.0;2156169000.0;75548000.0;-1350633000.0;1426181000.0;Novo Mercado;72.31;100.00;295630000.0;Tecnologia da Informação;Programas e Serviços 
